 County Code ,District Code,School Code,Local Educational Agency ,Charter Number," TK/K-3 ADA
Target, B-5/B-1 "," 4 - 6 ADA
Target, B-6/B-2 "," 7 - 8 ADA
Target, B-7/B-3 "," 9 - 12 ADA
Target, B-8/B-4 ","Unduplicated Pupil Percentage
Target, D-1"," Base Grant Funding
Target, C-5 "," Supplemental Grant Funding
Target, D-7 "," Concentration Grant Funding
Target, E-8 "," Necessary Small Schools Allowance
Target, F-1 "," Add-On (Based on 2012-13 Targeted Instructional Improvement Block Grant)
Target, F-2 "," Add-On (Based on 2012-13 Home-to-School Transportation)
Target, F-3 "," Add-On (Based on 2012-13 Small School District Bus Replacement Program)
Target, F-4 "," Total LCFF Target Entitlement
Target, G-1/F-1 "," Total LCFF Floor Entitlement
Transition, B-13 "," Current Year Gap Funding (100%)
Transition, C-3 "," Economic Recovery Target
Transition, D-1 "," Miscellaneous Adjustments
Transition, E-1 "," Total Local Revenue or In-Lieu of Property Taxes
Transition, F-2/F-7 "," Education Protection Account Entitlement
Transition, F-5/F-9 "," Net State Aid
Transition, F-6/F-10 "," Additional SA for MSA Guarantee
Transition, H-1/H-2 "
01,61119,0122085,The Academy of Alameda,1181, -   , 163.80 , 307.65 , -   , 0.4264 ," 3,638,569 "," 310,297 ", - , N/A , N/A , N/A , N/A ," 3,948,866 "," 3,679,870 "," 268,996 ", - , - ," 1,429,733 "," 766,736 "," 1,752,397 ", - 
01,61119,0130609,Alameda Community Learning Center,0352, -   , 49.00 , 112.01 , 171.60 , 0.3129 ," 2,834,769 "," 177,400 ", - , N/A , N/A , N/A , N/A ," 3,012,169 "," 2,781,621 "," 230,548 ", - , - ," 1,008,683 "," 581,385 "," 1,422,101 ", - 
01,61119,0130625,Alternatives in Action,0398, -   , -   , -   , 172.22 , 0.9748 ," 1,596,307 "," 311,216 "," 173,838 ", N/A , N/A , N/A , N/A ," 2,081,361 "," 1,883,257 ", - , - , - ," 522,280 "," 327,473 "," 1,231,608 ", - 
01,61119,0131805,The Academy of Alameda Elementary School,1718, 189.72 , 49.58 , -   , -   , 0.4983 ," 1,937,714 "," 193,112 ", - , N/A , N/A , N/A , N/A ," 2,130,826 "," 2,032,530 "," 98,296 ", - , - ," 725,708 "," 47,860 "," 1,357,258 ", - 
01,61127,0000000,Albany City Unified,N/A," 1,060.09 ", 806.37 , 554.25 ," 1,131.64 ", 0.2833 ," 29,644,972 "," 1,679,684 ", - , - , - ," 27,884 ", - ," 31,352,540 "," 29,460,891 "," 1,891,649 ", - , - ," 11,005,115 "," 5,777,202 "," 14,570,223 ", - 
01,61143,0000000,Berkeley Unified,N/A," 2,828.54 "," 2,101.08 "," 1,397.55 "," 3,070.55 ", 0.3519 ," 78,556,532 "," 5,528,808 ", - , - ," 4,293,233 "," 991,048 ", - ," 89,369,621 "," 84,726,528 "," 4,643,093 "," 820,253 ", - ," 43,425,650 "," 8,875,387 "," 37,888,837 ", - 
01,61143,0138552,REALM Charter,1255, -   , 11.77 , 88.01 , 258.96 , 0.7346 ," 3,175,537 "," 466,550 ", - , N/A , N/A , N/A , N/A ," 3,642,087 "," 3,576,114 "," 65,973 ", - , - ," 1,640,303 "," 557,809 "," 1,443,975 ", - 
01,61150,0000000,Castro Valley Unified,N/A," 2,617.44 "," 2,032.50 "," 1,400.40 "," 2,918.48 ", 0.2904 ," 74,911,585 "," 4,350,864 ", - , - , - ," 292,158 ", - ," 79,554,607 "," 74,489,641 "," 5,064,966 ", - , - ," 26,572,525 "," 14,660,230 "," 38,321,852 ", - 
01,61168,0000000,Emery Unified,N/A, 237.65 , 151.54 , 104.99 , 191.97 , 0.7953 ," 5,702,229 "," 906,997 "," 699,378 ", - , - ," 18,271 ", - ," 7,326,875 "," 6,698,947 "," 627,928 "," 108,723 ", - ," 5,582,328 "," 137,230 "," 1,716,040 ", - 
01,61176,0000000,Fremont Unified,N/A," 11,321.51 "," 7,866.37 "," 5,284.33 "," 9,816.09 ", 0.2780 ," 284,970,897 "," 15,844,382 ", - , - ," 1,735,344 "," 2,482,802 ", - ," 305,033,425 "," 286,821,638 "," 18,211,787 ", - , - ," 135,091,168 "," 46,031,290 "," 123,910,967 ", - 
01,61176,0130534,Circle of Independent Learning,0152, 23.47 , 51.16 , 80.22 , 213.13 , 0.3643 ," 3,181,504 "," 231,804 ", - , N/A , N/A , N/A , N/A ," 3,413,308 "," 3,133,703 "," 279,605 ", - , - ," 1,449,771 "," 648,286 "," 1,315,251 ", - 
01,61192,0000000,Hayward Unified,N/A," 6,623.21 "," 4,880.91 "," 2,757.56 "," 4,937.94 ", 0.7685 ," 158,763,208 "," 24,401,905 "," 17,344,881 ", - ," 641,531 "," 1,086,759 ", - ," 202,238,284 "," 190,977,464 "," 11,260,820 ", - , - ," 63,238,598 "," 31,579,939 "," 107,419,747 ", - 
01,61192,0108670,Leadership Public Schools - Hayward,0684, -   , -   , -   , 570.70 , 0.6274 ," 5,289,818 "," 663,766 "," 204,716 ", N/A , N/A , N/A , N/A ," 6,158,300 "," 5,753,782 "," 404,518 ", - , - ," 1,692,531 "," 1,085,176 "," 3,380,593 ", - 
01,61192,0119248,Golden Oak Montessori of Hayward,1067, 95.54 , 94.31 , 47.74 , -   , 0.2958 ," 1,872,974 "," 110,804 ", - , N/A , N/A , N/A , N/A ," 1,983,778 "," 1,864,250 "," 119,528 ", - , - ," 704,623 "," 377,825 "," 901,330 ", - 
01,61192,0127696,Knowledge Enlightens You (KEY) Academy,1514, 279.10 , 135.18 , 112.18 , -   , 0.7468 ," 4,196,392 "," 626,773 "," 412,924 ", N/A , N/A , N/A , N/A ," 5,236,089 "," 4,958,058 "," 278,031 ", - , - ," 1,561,328 "," 105,292 "," 3,569,469 ", - 
01,61192,0127944,Silver Oak High Public Montessori Charter,1543, -   , -   , -   , 207.82 , 0.5778 ," 1,926,284 "," 222,601 "," 26,775 ", N/A , N/A , N/A , N/A ," 2,175,660 "," 2,026,347 "," 149,313 ", - , - ," 616,334 "," 41,564 "," 1,517,762 ", - 
01,61192,0137646,Impact Academy of Arts & Technology,0836, -   , 119.73 , 241.43 , 439.35 , 0.6598 ," 6,860,999 "," 905,378 "," 376,669 ", N/A , N/A , N/A , N/A ," 8,143,046 "," 7,908,553 "," 234,493 ", - , - ," 2,374,081 "," 1,522,156 "," 4,246,809 ", - 
01,61200,0000000,Livermore Valley Joint Unified,N/A," 4,030.33 "," 3,025.03 "," 1,928.01 "," 4,260.92 ", 0.2809 ," 110,617,503 "," 6,214,491 ", - , - ," 758,227 "," 460,687 ", - ," 118,050,908 "," 110,398,912 "," 7,651,996 ", - , - ," 59,962,747 "," 9,961,409 "," 48,126,752 ", - 
